Date,BTC-USD,ETC-USD,LTC-USD,XMR-USD,NEO-USD,XRP-USD,ZEC-USD
2019-02-04,3467.211669921875,3.9204111099243164,33.464359283447266,42.96634292602539,7.01458215713501,0.30257999897003174,48.39152526855469
2019-02-05,3454.950927734375,3.878009080886841,34.00916290283203,42.719825744628906,7.0727410316467285,0.2997629940509796,48.46037292480469
2019-02-06,3469.091796875,3.86729097366333,34.34730529785156,43.374855041503906,7.081254005432129,0.2994300127029419,48.29642868041992
2019-02-07,3414.929443359375,3.7532999515533447,32.9053955078125,43.152706146240234,6.881533145904541,0.29069098830223083,46.610721588134766
2019-02-08,3401.37646484375,3.8700549602508545,33.23527145385742,43.248172760009766,6.922811985015869,0.29166799783706665,46.67533874511719
2019-02-09,3671.5859375,4.160839080810547,43.02186584472656,48.26957702636719,7.597153186798096,0.31157800555229187,49.70119094848633
2019-02-10,3673.201416015625,4.094662189483643,44.763633728027344,48.586612701416016,7.668973922729492,0.31125301122665405,50.38048553466797
2019-02-11,3695.613037109375,4.17490291595459,46.881832122802734,49.91179656982422,7.987133026123047,0.31003400683403015,50.68687438964844
2019-02-12,3642.751953125,4.086805820465088,43.16887283325195,48.22510528564453,8.12690258026123,0.3025690019130707,51.44095993041992
2019-02-13,3653.60400390625,4.0895609855651855,43.83333969116211,49.05235290527344,8.25588321685791,0.30542901158332825,53.6843376159668
2019-02-14,3631.170166015625,4.122910976409912,41.87549591064453,49.319847106933594,8.281783103942871,0.30401700735092163,52.96245574951172
2019-02-15,3617.368408203125,4.12925386428833,41.64327621459961,46.820167541503906,7.956048011779785,0.30212900042533875,51.758853912353516
2019-02-16,3615.270263671875,4.132001876831055,42.759765625,47.39543151855469,8.110772132873535,0.30160200595855713,51.09675216674805
2019-02-17,3633.359375,4.089620113372803,43.39625930786133,46.87131881713867,7.960508823394775,0.3015710115432739,51.660404205322266
2019-02-18,3671.369873046875,4.17421293258667,43.88195037841797,48.01448059082031,8.396639823913574,0.30308398604393005,52.04121398925781
2019-02-19,3911.66162109375,4.421824932098389,48.13616943359375,51.68333435058594,8.846444129943848,0.32142698764801025,54.88978958129883
2019-02-20,3946.68505859375,4.587402820587158,47.82089614868164,52.25026321411133,8.995396614074707,0.3235720098018646,55.30720520019531
2019-02-21,4000.2568359375,4.710933208465576,51.835323333740234,52.31678771972656,9.202020645141602,0.3328689932823181,54.9430046081543
2019-02-22,3952.406494140625,4.526422023773193,49.132930755615234,50.33552169799805,8.648401260375977,0.32144901156425476,53.67134475708008
2019-02-23,3998.916259765625,4.709733009338379,49.67182159423828,52.618038177490234,8.76156234741211,0.3213140070438385,54.224327087402344
2019-02-24,4145.4580078125,4.842487812042236,51.68029022216797,53.68765640258789,10.178563117980957,0.33294200897216797,56.9047966003418
2019-02-25,3807.00244140625,4.165194034576416,44.57594680786133,48.877296447753906,9.077034950256348,0.30070799589157104,52.217464447021484
2019-02-26,3878.697265625,4.292667865753174,46.17646026611328,50.09551239013672,9.368005752563477,0.32777899503707886,53.13312530517578
2019-02-27,3857.479736328125,4.3238959312438965,45.49864196777344,49.635040283203125,9.160468101501465,0.3196769952774048,52.76475524902344
2019-02-28,3848.261962890625,4.333526134490967,45.61649703979492,49.89556121826172,8.975945472717285,0.3131150007247925,52.77941131591797
2019-03-01,3853.757080078125,4.277850151062012,46.23541259765625,49.12215042114258,8.931600570678711,0.31506600975990295,51.92777633666992
2019-03-02,3855.318115234375,4.280147075653076,47.48123550415039,49.600914001464844,9.01629638671875,0.3169110119342804,52.25969314575195
2019-03-03,3862.26611328125,4.274299144744873,49.02194595336914,49.94568634033203,8.816181182861328,0.31485700607299805,51.814964294433594
2019-03-04,3845.091552734375,4.284120082855225,48.33495330810547,50.11978530883789,8.704559326171875,0.3120209872722626,51.04838180541992
2019-03-05,3759.83251953125,4.161523818969727,46.523563385009766,48.499942779541016,8.28841495513916,0.30509498715400696,49.08570098876953
2019-03-06,3897.0810546875,4.317346096038818,53.020225524902344,50.59394454956055,8.842731475830078,0.31667399406433105,51.10623550415039
2019-03-07,3903.384765625,4.315814018249512,55.8377685546875,50.92738723754883,8.8009033203125,0.3171919882297516,50.78426742553711
2019-03-08,3913.225830078125,4.394286155700684,57.435508728027344,51.235172271728516,9.263392448425293,0.31504398584365845,50.498023986816406
2019-03-09,3894.552490234375,4.237174987792969,56.00178146362305,49.98160171508789,8.85330867767334,0.3097510039806366,49.982906341552734
2019-03-10,3966.17431640625,4.307723045349121,58.09852981567383,50.882164001464844,9.048545837402344,0.31426599621772766,51.610897064208984
2019-03-11,3953.740234375,4.36342191696167,57.18770217895508,50.89009475708008,8.864130973815918,0.3131749927997589,50.94073486328125
